name;director;runtime;release;music;budget;boxoffice;tomatometer;audiencescore;budget_adj;boxoffice_adj;Franchise
17: GoldenEye;Martin Campbell;130;13.11.1995;Éric Serra;60;352,1;79;83;100,6633709;590,7262148;James Bond
18: Tomorrow Never Dies;Roger Spottiswoode;119;09.12.1997;David Arnold;110;333;57;53;175,1984425;530,3734669;James Bond
19: The World Is Not Enough;Michael Apted;125;08.11.1999;David Arnold;135;361,8;52;49;207,1961279;555,2856227;James Bond
20: Die Another Day;Lee Tamahori;133;20.11.2002;David Arnold;142;431,9;57;41;201,825123;613,8610607;James Bond
21: Casino Royale;Martin Campbell;144;14.11.2006;David Arnold;150;606,1;95;89;190,2288454;768,6513548;James Bond
22: Quantum of Solace;Marc Forster;106;29.10.2008;David Arnold;215;600,1;64;58;255,2978019;712,5777253;James Bond
23: Skyfall;Sam Mendes;143;23.10.2012;Thomas Newman;175;1109;82;86;194,8656813;1234,891661;James Bond
24: Spectre;Sam Mendes;148;26.10.2015;Thomas Newman;272;880,7;63;61;293,3912082;949,961901;James Bond
1: The Lord of the Rings: The Fellowship of the Ring;Peter Jackson;178;10.12.2001;Howard Shore;93;887,9;91;95;134,2776788;1281,990871;The Lord Of The Rings
2: The Lord of the Rings: The Two Towers;Peter Jackson;179;05.12.2002;Howard Shore;94;951,2;95;95;133,6025462;1351,944063;The Lord Of The Rings
3: The Lord of the Rings: The Return of the King;Peter Jackson;201;01.12.2003;Howard Shore;94;1142;93;86;130,6369631;1587,100126;The Lord Of The Rings
1: Mad Max ;George Miller;93;12.04.1979;Brian May;0,35;100;90;62;1,232930761;352,2659318;Mad Max
2: Mad Max 2;George Miller;96;24.12.1981;Brian May;4;36;93;86;11,24693979;101,2224581;Mad Max
3: Mad Max Beyond Thunderdome;George Miller;107;10.07.1985;Maurice Jarre;10;36;80;49;23,7673071;85,56230555;Mad Max
4: Mad Max: Fury Road;George Miller;120;07.05.2015;Junkie XL;168;375,2;97;85;181,2122168;404,7072843;Mad Max
1: The Matrix;The Wachowski Brothers;136;31.03.1999;Don Davis;63;465,3;88;85;96,69152634;714,1359874;The Matrix
2: The Matrix Reloaded;The Wachowski Brothers;138;07.05.2003;Don Davis;127;741,8;73;72;176,4988757;1030,920204;The Matrix
3: The Matrix Revolutions;The Wachowski Brothers;129;05.11.2003;Don Davis;130;427,3;35;60;180,6681404;593,84228;The Matrix
1: The Maze Runner;Wes Ball;113;19.09.2014;John Paesano;34;348,3;65;68;36,71743208;376,1376939;The Maze Runner
2: Maze Runner: The Scorch Trials;Wes Ball;131;18.09.2015;John Paesano;61;312,3;47;54;65,79729302;336,8605674;The Maze Runner
3: Maze Runner: The Death Cure;Wes Ball;143;11.01.2018;John Paesano;62;288,2;43;58;63,12342547;293,4221165;The Maze Runner
1: Mission: Impossible;Brian De Palma;110;22.05.1996;Danny Elfman;80;457,7;64;71;130,3956646;746,0261964;Mission Impossible
2: Mission: Impossible 2;John Woo;123;24.05.2000;Hans Zimmer;125;546,4;57;42;185,581446;811,2136167;Mission Impossible
3: Mission: Impossible III;J. J. Abrams;126;05.05.2006;Michael Giacchino;150;398,5;71;69;190,2288454;505,3746327;Mission Impossible
4: Mission: Impossible – Ghost Protocol;Brad Bird;133;07.12.2011;Michael Giacchino;145;694,7;94;76;164,8012907;789,5686666;Mission Impossible
5: Mission: Impossible – Rogue Nation;Christopher McQuarrie;131;23.07.2015;Joe Kraemer;150;682,7;93;87;161,7966222;736,3903598;Mission Impossible
6: Mission: Impossible – Fallout;Christopher McQuarrie;147;12.07.2018;Lorne Balfe;178;791,1;97;88;181,2253183;805,4345466;Mission Impossible
1: Pirates of the Caribbean: The Curse of the Black Pearl;Gore Verbinski;143;28.06.2003;Klaus Badelt;140;654,3;73;86;194,5656897;909,3166483;Pirates of the Caribbean
2: Pirates of the Caribbean: Dead Man's Chest;Gore Verbinski;151;24.06.2006;Hans Zimmer;225;1066;53;72;285,3432682;1351,892995;Pirates of the Caribbean
3: Pirates of the Caribbean: At World's End;Gore Verbinski;168;19.05.2007;Hans Zimmer;300;961;44;72;369,9054985;1184,930614;Pirates of the Caribbean
